version,title,chart,level,bpm,notes,genre,artist
3rd,Holic,NORMAL,5,155,395,HARD TECHNO,TaQ
3rd,Holic,HYPER,7,155,624,HARD TECHNO,TaQ
3rd,Holic,ANOTHER,11,155,880,HARD TECHNO,TaQ
3rd,LEADING CYBER,NORMAL,4,150,434,DIGI-ROCK,dj TAKA
3rd,LEADING CYBER,HYPER,6,150,611,DIGI-ROCK,dj TAKA
3rd,LEADING CYBER,ANOTHER,7,150,645,DIGI-ROCK,dj TAKA
3rd,Presto,NORMAL,3,136,273,PIANO AMBIENT,Osamu Kubota
3rd,Presto,HYPER,8,136,498,PIANO AMBIENT,Osamu Kubota
3rd,Presto,ANOTHER,8,136,508,PIANO AMBIENT,Osamu Kubota
3rd,R5,NORMAL,5,180,387,RAVE,tigerYAMATO with ultrabeatbox
3rd,R5,HYPER,8,180,588,RAVE,tigerYAMATO with ultrabeatbox
3rd,R5,ANOTHER,11,180,889,RAVE,tigerYAMATO with ultrabeatbox
3rd,REINCARNATION,NORMAL,4,145,424,TRANCE,dj TAKA
3rd,REINCARNATION,HYPER,5,145,525,TRANCE,dj TAKA
3rd,REINCARNATION,ANOTHER,7,145,643,TRANCE,dj TAKA
3rd,Schlagwerk,NORMAL,4,125,414,BIG BEAT,TaQ
3rd,Schlagwerk,HYPER,6,125,663,BIG BEAT,TaQ
3rd,Schlagwerk,ANOTHER,8,125,848,BIG BEAT,TaQ
3rd,Skyscraper,NORMAL,4,135,372,EPIC HOUSE,good-cool
3rd,Skyscraper,HYPER,6,135,610,EPIC HOUSE,good-cool
3rd,Skyscraper,ANOTHER,7,135,629,EPIC HOUSE,good-cool
3rd,Tangerine Stream,NORMAL,2,84,141,AMBIENT,dj TAKA
3rd,Tangerine Stream,HYPER,3,84,198,AMBIENT,dj TAKA
3rd,THE SAFARI,BEGINNER,2,150,183,WORLD HOUSE,Lion Musashi
3rd,THE SAFARI,NORMAL,7,150,618,WORLD HOUSE,Lion Musashi
3rd,THE SAFARI,HYPER,10,150,900,WORLD HOUSE,Lion Musashi
4th,250bpm,NORMAL,5,250,353,GABBA,AKIRA YAMAOKA
4th,250bpm,HYPER,8,250,528,GABBA,AKIRA YAMAOKA
4th,250bpm,ANOTHER,10,250,726,GABBA,AKIRA YAMAOKA
4th,ABSOLUTE,NORMAL,6,60～144,682,EPIC TRANCE,dj TAKA
4th,ABSOLUTE,HYPER,8,60～144,935,EPIC TRANCE,dj TAKA
4th,ABSOLUTE,ANOTHER,10,60～144,1218,EPIC TRANCE,dj TAKA
4th,ABSOLUTE,LEGGENDARIA,11,60～144,1412,EPIC TRANCE,dj TAKA
4th,B4U,NORMAL,5,155,538,SPEED RAVE,NAOKI
4th,B4U,HYPER,9,155,801,SPEED RAVE,NAOKI
4th,B4U,ANOTHER,10,155,1014,SPEED RAVE,NAOKI
4th,Broken My Heart,NORMAL,5,160,474,HYPER EUROBEAT,NAOKI feat.PAULA TERRY
4th,Broken My Heart,HYPER,7,160,751,HYPER EUROBEAT,NAOKI feat.PAULA TERRY
4th,Broken My Heart,ANOTHER,9,160,914,HYPER EUROBEAT,NAOKI feat.PAULA TERRY
4th,Burnin' The Floor,NORMAL,4,155,293,EURO GROOVE,NAOKI
4th,Burnin' The Floor,HYPER,4,155,478,EURO GROOVE,NAOKI
4th,Burnin' The Floor,ANOTHER,7,155,721,EURO GROOVE,NAOKI
4th,CHECKING YOU OUT,NORMAL,7,108～216,339,HIP HOP,good-cool feat. JP Miles
4th,CHECKING YOU OUT,HYPER,9,108～216,481,HIP HOP,good-cool feat. JP Miles
4th,CHECKING YOU OUT,ANOTHER,11,108～216,700,HIP HOP,good-cool feat. JP Miles
4th,Clione,NORMAL,4,148,264,DUTCH TRANCE,kors k
4th,Clione,HYPER,5,148,479,DUTCH TRANCE,kors k
4th,Clione,ANOTHER,9,148,811,DUTCH TRANCE,kors k
4th,Clione,LEGGENDARIA,11,148,1102,DUTCH TRANCE,kors k
4th,DXY!,NORMAL,6,148,651,TECHNO,TaQ
4th,DXY!,HYPER,9,148,968,TECHNO,TaQ
4th,DXY!,ANOTHER,10,148,1158,TECHNO,TaQ
4th,empathy,NORMAL,5,170,416,DRUM'N'BASS,TaQ
4th,empathy,HYPER,7,85～170,703,DRUM'N'BASS,TaQ
4th,empathy,ANOTHER,8,85～170,743,DRUM'N'BASS,TaQ
4th,era(step mix),NORMAL,5,90～180,565,DRUM'N'BASS,TaQ
4th,era(step mix),HYPER,8,90～180,733,DRUM'N'BASS,TaQ
4th,era(step mix),ANOTHER,9,90～180,875,DRUM'N'BASS,TaQ
4th,FLOWERS for ALBION,NORMAL,2,70～93,122,AMBIENT,dj TAKA
4th,FLOWERS for ALBION,HYPER,5,70～93,222,AMBIENT,dj TAKA
4th,HIGHER,NORMAL,3,132,270,DANCE POP,NM feat. Sunny
4th,HIGHER,HYPER,4,132,468,DANCE POP,NM feat. Sunny
4th,HIGHER,ANOTHER,6,132,641,DANCE POP,NM feat. Sunny
4th,Hitch Hiker2,NORMAL,4,137,420,WARP HOUSE,good-cool
4th,Hitch Hiker2,HYPER,6,137,609,WARP HOUSE,good-cool
4th,Hitch Hiker2,ANOTHER,7,137,665,WARP HOUSE,good-cool
4th,Hitch Hiker2,LEGGENDARIA,9,137,976,WARP HOUSE,good-cool
4th,Jam & Marmalade,NORMAL,6,145,388,WARP HOUSE,FinalOffset
4th,Jam & Marmalade,HYPER,7,145,456,WARP HOUSE,FinalOffset
4th,Jam & Marmalade,ANOTHER,8,145,512,WARP HOUSE,FinalOffset
4th,KAMIKAZE,NORMAL,5,130,515,TECHNO,dj nagureo
4th,KAMIKAZE,HYPER,6,130,745,TECHNO,dj nagureo
4th,KAMIKAZE,ANOTHER,10,130,1157,TECHNO,dj nagureo
4th,LOVE WILL…,NORMAL,4,144,279,TRANCE,riewo
4th,LOVE WILL…,HYPER,4,144,379,TRANCE,riewo
4th,LOVE WILL…,ANOTHER,7,144,732,TRANCE,riewo
4th,minimalian,NORMAL,3,141,271,MINIMAL,DETROIAN
4th,minimalian,HYPER,8,141,555,MINIMAL,DETROIAN
4th,minimalian,ANOTHER,9,141,706,MINIMAL,DETROIAN
4th,Mr.T.(take me higher),NORMAL,4,128,428,DANCE POP,Risky Men  feat.Asuka-M
4th,Mr.T.(take me higher),HYPER,5,128,510,DANCE POP,Risky Men  feat.Asuka-M
4th,Mr.T.(take me higher),ANOTHER,10,128,889,DANCE POP,Risky Men  feat.Asuka-M
4th,starmine,BEGINNER,2,182,224,HAPPY HARDCORE,Ryu☆
4th,starmine,NORMAL,5,182,456,HAPPY HARDCORE,Ryu☆
